orderid,orderdate,shipmode,customerid,productid,category,subcategory,quantity,profit,discountpercentage,price
CA-2016-152156,2016-11-08,Second Class,CG-12520,FUR-BO-10001798,Furniture,Bookcases,2,41.91,0,261.96
CA-2016-152156,2016-11-08,Second Class,CG-12520,FUR-CH-10000454,Furniture,Chairs,3,219.58,0,731.94
CA-2016-138688,2016-06-12,Second Class,DV-13045,OFF-LA-10000240,Office Supplies,Labels,2,6.87,0,14.62
US-2015-108966,2015-10-11,Standard Class,SO-20335,FUR-TA-10000577,Furniture,Tables,5,-383.03,45,957.58
US-2015-108966,2015-10-11,Standard Class,SO-20335,OFF-ST-10000760,Office Supplies,Storage,2,2.52,20,22.37
CA-2014-115812,2014-06-09,Standard Class,BH-11710,FUR-FU-10001487,Furniture,Furnishings,7,14.17,0,48.86
CA-2014-115812,2014-06-09,Standard Class,BH-11710,OFF-AR-10002833,Office Supplies,Art,4,1.97,0,7.28
CA-2014-115812,2014-06-09,Standard Class,BH-11710,TEC-PH-10002275,Technology,Phones,6,90.72,20,907.15
CA-2014-115812,2014-06-09,Standard Class,BH-11710,OFF-BI-10003910,Office Supplies,Binders,3,5.78,20,18.5
CA-2014-115812,2014-06-09,Standard Class,BH-11710,OFF-AP-10002892,Office Supplies,Appliances,5,34.47,0,114.9
CA-2014-115812,2014-06-09,Standard Class,BH-11710,FUR-TA-10001539,Furniture,Tables,9,85.31,20,1706.18
CA-2014-115812,2014-06-09,Standard Class,BH-11710,TEC-PH-10002033,Technology,Phones,4,68.36,20,911.42
CA-2017-114412,2017-04-15,Standard Class,AA-10480,OFF-PA-10002365,Office Supplies,Paper,3,5.44,20,15.55
CA-2016-161389,2016-12-05,Standard Class,IM-15070,OFF-BI-10003656,Office Supplies,Binders,3,132.59,20,407.98
US-2015-118983,2015-11-22,Standard Class,HP-14815,OFF-AP-10002311,Office Supplies,Appliances,5,-123.86,80,68.81
US-2015-118983,2015-11-22,Standard Class,HP-14815,OFF-BI-10000756,Office Supplies,Binders,3,-3.82,80,2.54
CA-2014-105893,2014-11-11,Standard Class,PK-19075,OFF-ST-10004186,Office Supplies,Storage,6,13.32,0,665.88
CA-2014-167164,2014-05-13,Second Class,AG-10270,OFF-ST-10000107,Office Supplies,Storage,2,9.99,0,55.5
CA-2014-143336,2014-08-27,Second Class,ZD-21925,OFF-AR-10003056,Office Supplies,Art,2,2.48,0,8.56
CA-2014-143336,2014-08-27,Second Class,ZD-21925,TEC-PH-10001949,Technology,Phones,3,16.01,20,213.48
CA-2014-143336,2014-08-27,Second Class,ZD-21925,OFF-BI-10002215,Office Supplies,Binders,4,7.38,20,22.72
CA-2016-137330,2016-12-09,Standard Class,KB-16585,OFF-AR-10000246,Office Supplies,Art,7,5.06,0,19.46
CA-2016-137330,2016-12-09,Standard Class,KB-16585,OFF-AP-10001492,Office Supplies,Appliances,7,15.69,0,60.34
US-2017-156909,2017-07-16,Second Class,SF-20065,FUR-CH-10002774,Furniture,Chairs,2,-1.02,30,71.37
CA-2015-106320,2015-09-25,Standard Class,EB-13870,FUR-TA-10000577,Furniture,Tables,3,240.26,0,1044.63
CA-2016-121755,2016-01-16,Second Class,EH-13945,OFF-BI-10001634,Office Supplies,Binders,2,4.22,20,11.65
CA-2016-121755,2016-01-16,Second Class,EH-13945,TEC-AC-10003027,Technology,Accessories,3,11.77,0,90.57
US-2015-150630,2015-09-17,Standard Class,TB-21520,FUR-BO-10004834,Furniture,Bookcases,7,-1665.05,50,3083.43
US-2015-150630,2015-09-17,Standard Class,TB-21520,OFF-BI-10000474,Office Supplies,Binders,2,-7.05,70,9.62
US-2015-150630,2015-09-17,Standard Class,TB-21520,FUR-FU-10004848,Furniture,Furnishings,3,15.53,20,124.2
US-2015-150630,2015-09-17,Standard Class,TB-21520,OFF-EN-10001509,Office Supplies,Envelopes,2,1.1,20,3.26
US-2015-150630,2015-09-17,Standard Class,TB-21520,OFF-AR-10004042,Office Supplies,Art,6,9.71,20,86.3
US-2015-150630,2015-09-17,Standard Class,TB-21520,OFF-BI-10001525,Office Supplies,Binders,6,-5.72,70,6.86
US-2015-150630,2015-09-17,Standard Class,TB-21520,OFF-AR-10001683,Office Supplies,Art,2,3.55,20,15.76
CA-2017-107727,2017-10-19,Second Class,MA-17560,OFF-PA-10000249,Office Supplies,Paper,3,9.95,20,29.47
CA-2016-117590,2016-12-08,First Class,GH-14485,TEC-PH-10004977,Technology,Phones,7,123.47,20,1097.54
CA-2016-117590,2016-12-08,First Class,GH-14485,FUR-FU-10003664,Furniture,Furnishings,5,-147.96,60,190.92
CA-2015-117415,2015-12-27,Standard Class,SN-20710,OFF-EN-10002986,Office Supplies,Envelopes,9,35.42,20,113.33
CA-2015-117415,2015-12-27,Standard Class,SN-20710,FUR-BO-10002545,Furniture,Bookcases,3,-46.98,32,532.4
CA-2015-117415,2015-12-27,Standard Class,SN-20710,FUR-CH-10004218,Furniture,Chairs,3,-15.15,30,212.06
CA-2015-117415,2015-12-27,Standard Class,SN-20710,TEC-PH-10000486,Technology,Phones,4,41.76,20,371.17
CA-2017-120999,2017-09-10,Standard Class,LC-16930,TEC-PH-10004093,Technology,Phones,4,16.56,20,147.17
CA-2016-101343,2016-07-17,Standard Class,RA-19885,OFF-ST-10003479,Office Supplies,Storage,2,3.89,0,77.88
CA-2017-139619,2017-09-19,Standard Class,ES-14080,OFF-ST-10003282,Office Supplies,Storage,2,9.56,20,95.62
CA-2016-118255,2016-03-11,First Class,ON-18715,TEC-AC-10000171,Technology,Accessories,2,19.77,0,45.98
CA-2016-118255,2016-03-11,First Class,ON-18715,OFF-BI-10003291,Office Supplies,Binders,2,8.21,0,17.46
CA-2014-146703,2014-10-20,Second Class,PO-18865,OFF-ST-10001713,Office Supplies,Storage,4,8.48,0,211.96
CA-2016-169194,2016-06-20,Standard Class,LH-16900,TEC-AC-10002167,Technology,Accessories,3,4.95,0,45.0
CA-2016-169194,2016-06-20,Standard Class,LH-16900,TEC-PH-10003988,Technology,Phones,2,6.1,0,21.8
CA-2015-115742,2015-04-18,Standard Class,DP-13000,OFF-BI-10004410,Office Supplies,Binders,6,17.96,0,38.22
CA-2015-115742,2015-04-18,Standard Class,DP-13000,OFF-LA-10002762,Office Supplies,Labels,6,35.33,0,75.18
CA-2015-115742,2015-04-18,Standard Class,DP-13000,FUR-FU-10001706,Furniture,Furnishings,2,2.96,0,6.16
CA-2015-115742,2015-04-18,Standard Class,DP-13000,FUR-CH-10003061,Furniture,Chairs,1,17.1,0,89.99
CA-2016-105816,2016-12-11,Standard Class,JM-15265,OFF-FA-10000304,Office Supplies,Fasteners,7,6.26,0,15.26
CA-2016-105816,2016-12-11,Standard Class,JM-15265,TEC-PH-10002447,Technology,Phones,5,298.69,0,1029.95
CA-2016-111682,2016-06-17,First Class,TB-21055,OFF-ST-10000604,Office Supplies,Storage,6,52.14,0,208.56
CA-2016-111682,2016-06-17,First Class,TB-21055,OFF-PA-10001569,Office Supplies,Paper,5,15.55,0,32.4
CA-2016-111682,2016-06-17,First Class,TB-21055,FUR-CH-10003968,Furniture,Chairs,5,7.1,10,319.41
CA-2016-111682,2016-06-17,First Class,TB-21055,OFF-PA-10000587,Office Supplies,Paper,2,6.99,0,14.56
CA-2016-111682,2016-06-17,First Class,TB-21055,TEC-AC-10002167,Technology,Accessories,2,3.3,0,30.0
CA-2016-111682,2016-06-17,First Class,TB-21055,OFF-BI-10001460,Office Supplies,Binders,4,16.36,20,48.48
CA-2016-111682,2016-06-17,First Class,TB-21055,OFF-AR-10001868,Office Supplies,Art,1,0.84,0,1.68
CA-2015-135545,2015-11-24,Standard Class,KM-16720,TEC-AC-10004633,Technology,Accessories,2,6.15,0,13.98
CA-2015-135545,2015-11-24,Standard Class,KM-16720,OFF-BI-10001078,Office Supplies,Binders,6,9.36,20,25.82
CA-2015-135545,2015-11-24,Standard Class,KM-16720,OFF-PA-10003892,Office Supplies,Paper,3,68.96,0,146.73
CA-2015-135545,2015-11-24,Standard Class,KM-16720,FUR-FU-10000397,Furniture,Furnishings,4,22.33,0,79.76
US-2015-164175,2015-04-30,Standard Class,PS-18970,FUR-CH-10001146,Furniture,Chairs,5,-15.22,30,213.12
CA-2014-106376,2014-12-05,Standard Class,BS-11590,OFF-AR-10002671,Office Supplies,Art,8,111.3,20,1113.02
CA-2014-106376,2014-12-05,Standard Class,BS-11590,TEC-PH-10002726,Technology,Phones,4,62.99,20,167.97
CA-2016-119823,2016-06-04,First Class,KD-16270,OFF-PA-10000482,Office Supplies,Paper,2,35.66,0,75.88
CA-2016-106075,2016-09-18,Standard Class,HM-14980,OFF-BI-10004654,Office Supplies,Binders,1,1.73,20,4.62
CA-2017-114440,2017-09-14,Second Class,TB-21520,OFF-PA-10004675,Office Supplies,Paper,3,8.76,0,19.05
US-2015-134026,2015-04-26,Standard Class,JE-15745,FUR-CH-10000513,Furniture,Chairs,8,-114.39,20,831.94
US-2015-134026,2015-04-26,Standard Class,JE-15745,FUR-FU-10003708,Furniture,Furnishings,2,1.21,20,97.04
US-2015-134026,2015-04-26,Standard Class,JE-15745,OFF-ST-10004123,Office Supplies,Storage,1,-18.2,20,72.78
US-2017-118038,2017-12-09,First Class,KB-16600,OFF-BI-10004182,Office Supplies,Binders,3,-1.93,80,1.25
US-2017-118038,2017-12-09,First Class,KB-16600,FUR-FU-10000260,Furniture,Furnishings,3,-5.82,60,9.71
US-2017-118038,2017-12-09,First Class,KB-16600,OFF-ST-10000615,Office Supplies,Storage,3,2.72,20,27.24
US-2014-147606,2014-11-26,Second Class,JE-15745,FUR-FU-10003194,Furniture,Furnishings,5,-14.48,60,19.3
CA-2016-127208,2016-06-12,First Class,SC-20770,OFF-AP-10002118,Office Supplies,Appliances,1,56.2,0,208.16
CA-2016-127208,2016-06-12,First Class,SC-20770,OFF-BI-10002309,Office Supplies,Binders,3,8.04,0,16.74
CA-2014-139451,2014-10-12,Standard Class,DN-13690,OFF-AR-10002053,Office Supplies,Art,5,4.17,0,14.9
CA-2014-139451,2014-10-12,Standard Class,DN-13690,OFF-ST-10002370,Office Supplies,Storage,1,6.2,0,21.39
CA-2015-149734,2015-09-03,Standard Class,JC-16105,OFF-EN-10000927,Office Supplies,Envelopes,7,62.81,20,200.98
US-2017-119662,2017-11-13,First Class,CS-12400,OFF-ST-10003656,Office Supplies,Storage,3,-48.95,20,230.38
CA-2017-140088,2017-05-28,Second Class,PO-18865,FUR-CH-10000863,Furniture,Chairs,2,33.22,0,301.96
CA-2017-155558,2017-10-26,Standard Class,PG-18895,TEC-AC-10001998,Technology,Accessories,1,6.8,0,19.99
CA-2017-155558,2017-10-26,Standard Class,PG-18895,OFF-LA-10000134,Office Supplies,Labels,2,2.96,0,6.16
CA-2016-159695,2016-04-05,Second Class,GM-14455,OFF-ST-10003442,Office Supplies,Storage,7,13.86,20,158.37
CA-2016-109806,2016-09-17,Standard Class,JS-15685,OFF-AR-10004930,Office Supplies,Art,3,6.63,0,20.1
CA-2016-109806,2016-09-17,Standard Class,JS-15685,TEC-PH-10004093,Technology,Phones,2,8.28,20,73.58
CA-2016-109806,2016-09-17,Standard Class,JS-15685,OFF-PA-10000304,Office Supplies,Paper,1,3.11,0,6.48
CA-2015-149587,2015-01-31,Second Class,KB-16315,OFF-PA-10003177,Office Supplies,Paper,2,6.22,0,12.96
CA-2015-149587,2015-01-31,Second Class,KB-16315,FUR-FU-10003799,Furniture,Furnishings,3,16.54,0,53.34
CA-2015-149587,2015-01-31,Second Class,KB-16315,OFF-BI-10002852,Office Supplies,Binders,2,16.15,0,32.96
US-2017-109484,2017-11-06,Standard Class,RB-19705,OFF-BI-10004738,Office Supplies,Binders,1,-3.79,70,5.68
CA-2017-161018,2017-11-09,Second Class,PN-18775,FUR-FU-10000629,Furniture,Furnishings,7,40.54,0,96.53
CA-2017-157833,2017-06-17,First Class,KD-16345,OFF-BI-10001721,Office Supplies,Binders,3,17.96,20,51.31
CA-2016-149223,2016-09-06,Standard Class,ER-13855,OFF-AP-10000358,Office Supplies,Appliances,6,22.59,0,77.88
CA-2016-158568,2016-08-29,Standard Class,RB-19465,OFF-PA-10003256,Office Supplies,Paper,7,22.62,20,64.62
CA-2016-158568,2016-08-29,Standard Class,RB-19465,TEC-AC-10001767,Technology,Accessories,3,-10.8,20,95.98
CA-2016-158568,2016-08-29,Standard Class,RB-19465,OFF-BI-10002609,Office Supplies,Binders,3,-3.04,80,1.79
CA-2016-129903,2016-12-01,Second Class,GZ-14470,OFF-PA-10004040,Office Supplies,Paper,4,11.72,0,23.92
US-2015-156867,2015-11-13,Standard Class,LC-16870,TEC-AC-10001552,Technology,Accessories,6,-26.88,20,238.9
US-2015-156867,2015-11-13,Standard Class,LC-16870,FUR-FU-10004006,Furniture,Furnishings,3,-3.84,20,102.36
US-2015-156867,2015-11-13,Standard Class,LC-16870,OFF-BI-10002794,Office Supplies,Binders,3,-25.82,70,36.88
CA-2017-119004,2017-11-23,Standard Class,JM-15250,TEC-AC-10003499,Technology,Accessories,8,17.6,20,74.11
CA-2017-119004,2017-11-23,Standard Class,JM-15250,TEC-PH-10002844,Technology,Phones,1,2.1,20,27.99
CA-2017-119004,2017-11-23,Standard Class,JM-15250,OFF-AR-10000390,Office Supplies,Art,1,1.07,20,3.3
CA-2015-129476,2015-10-15,Standard Class,PA-19060,TEC-AC-10000844,Technology,Accessories,5,67.99,20,339.96
CA-2017-146780,2017-12-25,Standard Class,CV-12805,FUR-FU-10001934,Furniture,Furnishings,2,10.91,0,41.96
CA-2016-128867,2016-11-03,Standard Class,CL-12565,OFF-AR-10000380,Office Supplies,Art,2,22.79,0,75.96
CA-2016-128867,2016-11-03,Standard Class,CL-12565,OFF-BI-10003981,Office Supplies,Binders,6,13.35,0,27.24
CA-2014-115259,2014-08-25,Second Class,RC-19960,OFF-FA-10000621,Office Supplies,Fasteners,14,14.53,20,40.1
CA-2014-115259,2014-08-25,Second Class,RC-19960,OFF-EN-10002600,Office Supplies,Envelopes,2,1.65,20,4.72
CA-2014-115259,2014-08-25,Second Class,RC-19960,OFF-PA-10004965,Office Supplies,Paper,3,7.49,20,23.98
CA-2014-115259,2014-08-25,Second Class,RC-19960,OFF-EN-10002504,Office Supplies,Envelopes,6,44.03,20,130.46
CA-2015-110457,2015-03-02,Standard Class,DK-13090,FUR-TA-10001768,Furniture,Tables,3,165.38,0,787.53
US-2015-136476,2015-04-05,Standard Class,GG-14650,OFF-BI-10003650,Office Supplies,Binders,1,-115.72,70,157.79
CA-2016-103730,2016-06-12,First Class,SC-20725,FUR-FU-10002157,Furniture,Furnishings,3,18.35,0,47.04
CA-2016-103730,2016-06-12,First Class,SC-20725,OFF-BI-10003910,Office Supplies,Binders,4,13.88,0,30.84
CA-2016-103730,2016-06-12,First Class,SC-20725,OFF-ST-10000777,Office Supplies,Storage,6,63.44,0,226.56
CA-2016-103730,2016-06-12,First Class,SC-20725,OFF-EN-10002500,Office Supplies,Envelopes,9,51.76,0,115.02
CA-2016-103730,2016-06-12,First Class,SC-20725,TEC-PH-10003875,Technology,Phones,7,19.73,0,68.04
US-2014-152030,2014-12-26,Second Class,AD-10180,FUR-CH-10004063,Furniture,Chairs,3,-8.58,30,600.56
US-2014-134614,2014-09-20,Standard Class,PF-19165,FUR-TA-10004534,Furniture,Tables,6,-407.68,50,617.7
US-2017-107272,2017-11-05,Standard Class,TS-21610,OFF-BI-10003274,Office Supplies,Binders,2,-1.83,70,2.39
US-2017-107272,2017-11-05,Standard Class,TS-21610,OFF-ST-10002974,Office Supplies,Storage,7,30.5,20,243.99
US-2016-125969,2016-11-06,Second Class,LS-16975,FUR-CH-10001146,Furniture,Chairs,2,-9.16,20,81.42
US-2016-125969,2016-11-06,Second Class,LS-16975,FUR-FU-10003773,Furniture,Furnishings,3,26.24,0,238.56
US-2017-164147,2017-02-02,First Class,DW-13585,TEC-PH-10002293,Technology,Phones,5,-11.99,40,59.97
US-2017-164147,2017-02-02,First Class,DW-13585,OFF-PA-10002377,Office Supplies,Paper,2,29.36,20,78.3
US-2017-164147,2017-02-02,First Class,DW-13585,OFF-FA-10002780,Office Supplies,Fasteners,9,6.97,20,21.46
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-PA-10001804,Office Supplies,Paper,3,9.62,0,20.04
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-PA-10001736,Office Supplies,Paper,1,16.66,0,35.44
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-AR-10001149,Office Supplies,Art,4,3.46,0,11.52
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-FA-10002988,Office Supplies,Fasteners,2,1.97,0,4.02
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-BI-10004781,Office Supplies,Binders,3,26.66,20,76.18
CA-2016-145583,2016-10-13,Standard Class,LC-16885,OFF-SU-10001218,Office Supplies,Supplies,6,18.45,0,65.88
CA-2016-145583,2016-10-13,Standard Class,LC-16885,FUR-FU-10001706,Furniture,Furnishings,14,20.7,0,43.12
CA-2016-110366,2016-09-05,Second Class,JD-15895,FUR-FU-10004848,Furniture,Furnishings,2,10.35,20,82.8
CA-2017-106180,2017-09-18,Standard Class,SH-19975,OFF-AR-10000940,Office Supplies,Art,3,2.38,0,8.82
